Instance,n,Seed,Exact status,Exact objective,NILS objective,NILS gap vs exact (%),Exact runtime (s),NILS runtime (s),Exact MIP gap
n_by_n_3_01,3,5027,Optimal,11.077564199274736,11.33815818857164,2.352448467994124,0.3831532001495361,0.0520801544189453,0.0
n_by_n_4_01,4,6027,Optimal,11.319586162854002,11.319586162854002,0.0,0.9755280017852784,0.0492856502532959,0.0
n_by_n_5_01,5,7027,Optimal,9.751888113711589,10.239552333741106,5.0007159059161,2.3480849266052246,0.0555183887481689,0.0
n_by_n_6_01,6,8027,Optimal,10.310181396180427,10.694370517260792,3.726308066923941,8.601423263549805,0.0819659233093261,0.0
n_by_n_7_01,7,9027,Optimal,10.220199640518194,11.46625265425416,12.192061383967118,33.846094846725464,0.0804595947265625,0.0
n_by_n_8_01,8,10027,Optimal,11.26611349589828,12.886450196975456,14.382392842634706,42.72001600265503,0.1128106117248535,0.0
n_by_n_9_01,9,11027,Optimal,11.150435358876084,11.882570544851006,6.565978478966943,43.60921812057495,0.1211261749267578,0.0
