lambda_distance_scale,method,feasible,objective,improvement_vs_truck_only_pct,runtime_seconds,drone_served_customers,drone_served_high,drone_served_medium,drone_served_low,waiting_sync_cost,drone_service_share_pct
0.13,truck_only,True,457142.444450329,,20.18856716156006,0,0,0,0,0.0,0.0
0.13,simple_drone,True,437316.4611431475,4.336937763681164,20.203664541244507,5,3,1,1,0.0,6.25
0.13,paired_baseline,True,441380.62947623915,3.4479001382253966,4.470126628875732,8,3,1,4,50.09280250717093,10.0
0.13,no_unpairing,True,412547.657939045,9.755118355921876,17.88529896736145,7,3,1,3,7.058050264104215,8.75
0.13,nils,True,412540.5998887809,9.756662305810966,2.255788564682007,7,3,1,3,0.0,8.75
0.13,nils_no_local_search,True,412261.38813692535,9.817739931668108,1.849491834640503,8,3,1,4,0.0,10.0
0.13,nils_no_perturbation,True,441177.80874148523,3.4922672140058544,1.252243995666504,8,3,1,4,0.0,10.0
