size,n_pairs,avg_nils_objective,avg_alns_objective,avg_nils_improvement_vs_alns_pct,median_nils_improvement_vs_alns_pct,nils_wins,alns_wins,avg_nils_cpu_s,avg_alns_cpu_s
All,24,38800.33955755726,54774.445485789074,29.367623729908388,32.935698230018566,18,6,15.034208983182907,9.418441345294317
15,8,87.85515388261082,1669.3632574795793,27.41972551851523,10.884300317412078,5,3,0.3924463987350464,5.9803444147109985
50,7,20737.29267153655,44657.6246383911,53.63275974374158,62.191676547304155,7,0,3.8659325667790005,10.833952801568168
75,3,13380.304029169127,25827.441759837715,50.92203559447106,39.16942212809385,3,0,10.834440072377523,10.71076234181722
100,6,124200.55789367501,151857.68130847506,-7.121709936654121,8.870905066715904,3,3,49.68609937032064,11.704980055491129
