method_name,n_runs,avg_objective,std_objective,avg_relative_objective_index,avg_improvement_pct,avg_drone_share,avg_cpu_s,feasibility_rate,method_label
truck_only,18,87233.36304950638,125959.99577199432,100.0,,0.0,0.03689159287346734,1.0,M1 Truck-only
nils,24,38800.33955755726,70553.20595522545,14.614573339814914,85.38542666018509,0.26458333333333334,15.034208983182907,1.0,M5 NILS
feasibility_aware_alns,24,54774.445485789074,86058.76368436913,28.343438780888736,71.65656121911127,0.1336111111111111,9.418441345294317,1.0,M8 Feasibility-aware ALNS
