method,status,is_feasible,reported_objective,evaluate_solution_objective,objective_difference_eval_minus_reported,milp_truck_cost_component,milp_drone_cost_component,milp_tardiness_cost_component,milp_waiting_cost_component,eval_truck_cost,eval_drone_cost,eval_tardiness_cost,eval_waiting_cost,truck_routes,drone_routes,drone_served_customers,drone_arcs,reload_events,battery_swaps,nonempty_drone_routes
exact,2,True,11.132643931661342,11.132643931661342,0.0,0.0,11.132643931661342,0.0,0.0,0.0,11.132643931661342,0.0,0.0,"{""1"": [0, 0], ""2"": [0, 0], ""3"": [0, 0]}","{""1"": [0, 0], ""2"": [0, 3, 1, 5, 8, 2, 6, 4, 7, 0], ""3"": [0, 0]}",8,9,0,0,1
nils,nils_complete,True,12.74886984274702,12.74886984274702,0.0,0.0,12.74886984274702,0.0,0.0,0.0,12.74886984274702,0.0,0.0,"{""1"": [0, 0], ""2"": [0, 0], ""3"": [0, 0]}","{""1"": [0, 2, 6, 1, 3, 5, 8, 4, 7, 0], ""2"": [0, 0], ""3"": [0, 0]}",8,9,0,0,1
