seed,status,feasible,objective,gap_vs_exact_pct,truck_cost,drone_cost,tardiness_cost,waiting_cost,truck_routes,drone_routes,drone_served_customers,drone_arcs,reload_events,battery_swaps,nonempty_drone_routes
12053,nils_complete,True,11.362130677014719,2.0613858375611427,0.0,11.362130677014719,0.0,0.0,"{1: [0, 0], 2: [0, 0], 3: [0, 0]}","{1: [0, 1, 3, 7, 4, 6, 2, 8, 5, 0], 2: [0, 0], 3: [0, 0]}",8,9,0,0,1
422053,nils_complete,True,11.132643931661342,0.0,0.0,11.132643931661342,0.0,0.0,"{1: [0, 0], 2: [0, 0], 3: [0, 0]}","{1: [0, 3, 1, 5, 8, 2, 6, 4, 7, 0], 2: [0, 0], 3: [0, 0]}",8,9,0,0,1
