eligible_share_target,spatial_pattern,objective,improvement,drone_share,truck_distance_reduction
0.25,clustered,5704.345873950579,89.70380100665662,0.1441304347826087,14.338558334361185
0.25,uniform,14361.838332020605,72.67041644939084,0.14410256410256408,30.68680242722028
0.75,clustered,308.2380577109213,88.39536105171324,0.3551388888888889,45.35122328532929
0.75,uniform,10573.936771552739,80.62780094788042,0.1931645569620253,37.947946409006484
