n,method_name,n_runs,feasible_runs,feasibility_rate,avg_cpu_time,objective,reported_runs,improvement_vs_truck_only,reporting_inclusion_rate
15,nils,230,222,0.9652173913043478,0.20606345404749332,205.89262442222946,222,75.22528219393287,0.9652173913043478
15,truck_only,230,230,1.0,0.004620546879975692,6058.67708616782,230,,1.0
50,nils,210,198,0.9428571428571428,2.6176769597189766,13044.798705074292,198,88.38097107735668,0.9428571428571428
50,truck_only,210,200,0.9523809523809523,0.0273446934563773,123313.17876281848,200,,0.9523809523809523
75,nils,90,65,0.7222222222222222,7.75517463154263,21193.454786022998,65,84.55208645355557,0.7222222222222222
75,truck_only,90,52,0.5777777777777777,0.0688533624013265,115308.14943227725,52,,0.5777777777777777
100,nils,190,4,0.021052631578947368,27.154591059684755,68165.67450251032,4,83.75591999890767,0.021052631578947368
100,truck_only,190,1,0.005263157894736842,0.12636783624950207,107038.55891637842,1,,0.005263157894736842
