method,status,feasible,objective,runtime_seconds,truck_cost,drone_cost,waiting_sync_cost,priority_tardiness_cost,drone_served_customers,drone_service_share,drone_arcs,reload_events,battery_swaps,nonempty_drone_routes,served_high,served_medium,served_low,drone_served_high,drone_served_medium,drone_served_low,improvement_vs_truck_only_pct
truck_only,baseline_truck_only_ortools,True,702687.4570044683,20.31224226951599,349.2659257475908,0.0,0.0,702338.1910787207,0,0.0,0,0,0,0,40,20,20,0,0,0,
simple_drone,baseline_simple_drone_ortools,True,614438.8833853935,20.507719039916992,340.3613151919933,18.283201666531657,0.0,614080.238868535,7,0.0875,8,0,0,1,40,20,20,3,1,3,12.558723332742455
paired_baseline,baseline_paired,True,454749.3289421224,65.96835160255432,481.56440871183054,27.48931084345433,55.60744201194865,454184.6677805552,6,0.075,8,3,3,2,40,20,20,3,2,1,35.28426836011808
no_unpairing,baseline_no_unpairing,True,592166.4030003012,126.4951319694519,346.3798266840114,32.349897353592134,2.14901493097136,591785.5242613327,6,0.075,8,5,4,2,40,20,20,3,1,2,15.728337385630082
nils,nils_complete,True,533987.5073097482,5.58824610710144,441.9804277466546,49.11003652047726,0.0,533496.416845481,9,0.1125,12,0,0,3,40,20,20,4,2,3,24.007821402402996
nils_no_local_search,ablation_no_local_search,True,481499.42116167676,4.614899396896362,456.9483466737288,49.03008681240283,0.0,480993.4427281906,9,0.1125,12,0,0,3,40,20,20,4,2,3,31.47744187518421
nils_no_perturbation,ablation_no_perturbation,True,481107.34894728183,3.757059097290039,348.65982722821104,46.28286004099022,0.0,480712.40626001265,8,0.1,11,0,0,3,40,20,20,4,2,2,31.533237977773872
