n,method_name,n_runs,feasible_runs,feasibility_rate,avg_cpu_time,objective,reported_runs,improvement_vs_truck_only,reporting_inclusion_rate
15,nils,230,221,0.9608695652173913,0.15743348702140478,207.28734943437175,221,75.0947290262722,0.9608695652173913
15,truck_only,230,230,1.0,0.004427066056624703,6058.67708616782,230,,1.0
50,nils,210,196,0.9333333333333333,2.355961010569618,13971.204798398407,196,87.70356031684932,0.9333333333333333
50,truck_only,210,200,0.9523809523809523,0.025303366070701962,123313.17876281848,200,,0.9523809523809523
75,nils,90,65,0.7222222222222222,7.1840687010023325,21674.40664203962,65,83.68641794048818,0.7222222222222222
75,truck_only,90,52,0.5777777777777777,0.06184235413869222,115308.14943227725,52,,0.5777777777777777
100,nils,190,4,0.021052631578947368,26.14036967754364,67734.37266470949,4,83.75591999890767,0.021052631578947368
100,truck_only,190,1,0.005263157894736842,0.10418745718504253,107038.55891637842,1,,0.005263157894736842
